x,y,type
-1471.68982656,2634.49759202,1
4330.89178201,3361.87595197,1
-2760.2214267,1719.20892362,1
6190.1863824,-2035.94520085,1
-4486.01010477,2393.51169381,1
1253.41929674,5618.17097867,1
-12445.8110164,-12608.4839452,1
-18892.126519,-13065.3744453,1
-1451.4999941,3161.54792738,1
2137.32460137,7310.83536653,1
7817.1216371,3577.89752693,1
-32.3388291815,3011.5879608,1
13889.0635623,-13853.890598,1
-686.654677658,4071.66177748,1
5302.37235206,6189.76811383,1
1632.5746464,6377.24490011,1
-746.420639376,3834.12650632,1
4111.38703423,6436.14873078,1
4330.45480507,-623.447740431,1
-3394.40799048,3252.98561589,1
-2311.11291106,3089.34489581,1
-7866.80195337,402.733770249,1
-1178.58094422,4239.93002255,1
1362.62956004,3882.45012644,1
22.9747501982,5018.17503741,1
-9862.46871577,11.6556787471,1
-744.324689027,2882.06445049,1
-440.720307467,5084.06614922,1
-2593.11925662,1566.09121691,1
-5724.7463075,-10444.2139059,1
-9257.37175148,1138.57929445,1
7655.92659051,-2056.95890275,1
379.311282099,4555.26303955,1
1600.65691572,7088.74464549,1
6428.87977034,3135.79293521,1
-6078.3805192,1099.66965517,1
161.991353438,1736.51730382,1
9009.99353352,-13939.3455722,1
-20472.9639479,-23071.443882,1
-2492.52172445,2154.20306849,1
-7289.01688444,-1444.69866762,1
-29005.3926556,-23542.7845642,1
-2115.87044788,-8584.3071069,1
7438.28887962,1542.3591826,1
-928.097056274,5407.93582949,1
7474.34227561,612.189940522,1
21418.0895385,-24112.7102147,1
1292.31864077,6613.58428528,1
-2267.87844769,2823.32049999,1
-977.075032976,-9.59453469348,1
20940.3478317,-22657.937508,1
2035.81853302,6750.2533828,1
12804.2128787,-8353.92315833,1
4461.99667572,7453.15567957,1
5745.24154879,-3353.02232578,1
7093.18450196,-958.432544454,1
11671.4935405,-9360.61049462,1
-826.234978922,5586.45914603,1
1142.37314653,-6038.01221463,1
6394.94217618,8482.84520869,1
-355.606623316,3093.5157741,1
13414.9879707,-1248.13588389,1
-1486.97744898,6996.951778,1
4056.59806345,2747.11885044,1
-7983.46298471,1999.58873094,1
-1633.67966042,3136.07572667,1
10285.2744458,-19357.4353187,1
-4956.51284,-2453.03359145,1
1115.23951917,6467.42586934,1
-1049.88014698,1008.03210842,1
-6497.21309782,1558.93799649,1
-1451.79322026,-12850.3554907,1
7585.73197175,-283.886133048,1
-2888.55357345,2072.57236744,1
-2236.02166841,3503.3663618,1
-4852.06886934,3266.03707167,1
9208.73042576,-12306.8445787,1
-9726.23716533,-147.294328345,1
202.263379105,5635.71679515,1
-2101.63700787,888.573689486,1
3576.76475598,7264.47478013,1
11481.2729909,-1798.44561253,1
-873.061448091,5661.76528564,1
-310.522341244,868.33193702,1
-2621.34610111,-2090.31193419,1
-4236.47408162,3297.56424444,1
1884.23645445,5004.07377602,1
5845.61555097,-2739.1516725,1
2891.45533134,7395.26466195,1
63.790879968,5923.72065225,1
-3991.10326106,3948.53482621,1
6885.30210109,6594.06471454,1
1550.64418845,6363.48581765,1
-24877.6544986,-21830.7218719,1
16730.3561133,-29737.5014328,1
-575.482710742,5184.22772263,1
538.948482709,3615.1925491,1
-1753.57233416,4824.42579796,1
-2392.65454829,24.4317225624,1
1722.59790462,4451.16241806,1
-4890.11602624,-816.466073116,1
-7631.95084244,429.173604935,1
6966.48910213,-16565.4266307,1
-2661.28373962,-1947.94230626,1
-6871.63523754,-553.175398925,1
-596.736448135,3001.88567397,1
9122.50195979,2064.93423492,1
-9754.85356209,-5002.55455974,1
2793.76639818,6413.52860637,1
-7732.78818304,-153.919976267,1
-502.843003947,6228.35163727,1
-1944.42009554,3485.25181259,1
-1014.91765828,-170.112949632,1
-7370.72007358,-6964.84311285,1
-8687.11560577,79.6476255004,1
-23676.3311684,-16347.0156525,1
-2721.4255883,4996.02908371,1
1386.91558172,5245.9248781,1
2025.30120066,5468.36098068,1
-1513.40574716,3805.03623456,1
4805.30620188,-2703.58129593,1
10059.2541091,-12531.6204816,1
4867.53647624,-5362.27274632,1
-836.04333005,2854.78691811,1
5244.78429205,786.434241083,1
2053.88475381,1076.52929526,1
4200.66886368,2444.36798275,1
-6425.08352381,-1085.55530346,1
8046.39551401,-2602.68324775,1
865.146440224,6498.07691327,1
5923.39966484,-442.872656894,1
1600.56611494,5872.64382018,1
842.902582027,5783.81729533,1
-2133.38713858,-17625.8443658,1
-4866.05928118,2054.63048514,1
-3095.88028398,1350.20376732,1
-241.364772171,4913.27386048,1
1661.73567185,-4182.46240709,1
5359.69888745,4504.93007566,1
-4668.26858699,1486.22912524,1
5509.25116023,4451.57541302,1
-3442.41740093,2669.83274449,1
-11079.688655,-1369.77743863,1
-3402.35990953,2332.68196911,1
-5266.58279225,-1561.70148609,1
3244.6429625,-7240.2106647,1
5541.91201781,5983.21563361,1
-1213.73275571,3400.90016717,1
-11687.7584748,305.237320649,1
-4276.78943456,4397.15490686,1
-1459.5229256,-160.298272794,1
248.991471185,4315.03298907,1
3695.80092345,6658.70105566,1
-1692.14986962,4575.86708294,1
-14138.0472839,-5836.22449208,1
660.357006918,5348.87832897,1
3217.36597398,5939.68441087,1
-2302.82582656,6395.04603999,1
9319.25776205,241.751503118,1
4279.08459841,7150.25378935,1
-4363.3062975,2706.23807229,1
-2867.7398139,1412.1471152,1
3221.45690005,6012.96771193,1
10066.6414619,-9155.6867261,1
5949.97071106,6818.68336038,1
-10067.124579,-18279.3124286,1
-2749.58669858,4623.65654716,1
7083.51603308,-6219.18267745,1
-5739.68072022,-16.0933161135,1
-3558.61901044,4614.91412845,1
-9650.54903601,-3317.20786012,1
1298.03614057,5369.97364225,1
4185.11048287,-12447.308512,1
-8678.50129551,-2746.64292683,1
-2722.49236106,3427.5039924,1
201.17325408,6474.30759171,1
-3541.97354358,4330.40938568,1
-7605.43475123,803.278582339,1
4866.64556948,-6396.99248099,1
831.071927601,4156.73599818,1
6561.84193236,-10057.2672652,1
4614.86300019,7043.77933474,1
-1141.84201982,4606.34736667,1
3115.83894531,7415.42958619,1
-11790.8752901,-3927.16199891,1
-11502.2807398,-2124.42218458,1
5239.84276407,8035.32153115,1
6762.82195714,-9751.82620574,1
4886.73115921,5952.56894145,1
2167.63744347,6568.75978506,1
6156.2152295,6657.78227138,1
-12361.2242859,-929.813227616,1
-1965.52294107,-7750.68613712,1
-1764.0480718,-1346.3616318,1
-9137.20506158,-1902.3933079,1
3645.05580505,3265.14454328,1
5348.96196782,7142.20637825,1
17744.2074702,-16995.3282523,1
12606.0810322,-4836.72563959,1
6025.24603924,2134.56016361,1
6589.75943328,4456.84023271,1
2749.59814792,1660.0130933,1
5376.27345341,5034.8809795,1
8100.31178482,-638.091263722,1
4790.34785688,4273.15204777,1
6958.33019396,-5418.21407503,1
-3452.37590414,1287.64930122,1
7702.65543698,2638.90135078,1
-2510.41908851,4146.10618575,1
-5864.26083176,-7722.24497749,1
-6862.04466836,-1338.40742113,1
3290.77843416,3465.01966574,1
-2855.59906743,2615.7783851,1
-3751.93527879,465.691282669,1
-3135.50865327,1271.69957301,1
4667.68698173,6283.65106746,1
4270.99300556,1084.12951888,1
12552.2064355,-7833.26952949,1
-2417.20467249,563.485223329,1
3519.88277594,739.876986197,1
12380.8373411,-22065.9370929,1
1964.06782975,5703.00320291,1
-1976.08248442,5205.12493703,1
1408.83739581,4821.74497313,1
-75.3869531952,4481.34925848,1
4257.90726604,7069.28660974,1
-2043.83444642,3594.95167816,1
8076.05273337,2966.85638309,1
7120.11147529,-1296.26347393,1
-3049.41112918,2711.57804579,1
-3197.16440791,1830.98804734,1
-1755.12299914,5103.79520849,1
-2609.13397417,-3354.07853442,1
-14390.8842357,-2754.0772624,1
10770.9648335,-5935.53417294,1
-2464.10849471,966.969502695,1
-8352.06616625,-3563.97886365,2
-7040.50876443,-5010.88628364,2
6425.33906579,-493.983581577,2
-6041.08826507,-1568.30918268,2
2153.14434354,-5328.64085683,2
3305.57972632,-1614.77544132,2
-5267.54298495,-720.40257627,2
-2491.16670851,3874.72883519,2
-6290.86864968,-3385.24752034,2
-3849.07267526,280.987185977,2
-4747.6147512,530.205492136,2
-2463.25327876,-422.910418709,2
-5247.43983785,-1833.22294609,2
-4929.14333407,-2630.94123717,2
-4318.3684113,473.502631158,2
-6286.5021447,-5275.47143344,2
1638.78975402,-4631.46437409,2
-2433.39341734,3366.86514688,2
-1468.42208421,-391.474859813,2
-6458.80723356,-2284.5118325,2
-5021.57278903,-2338.07161065,2
-3906.27635144,-550.353252357,2
-4476.58345944,573.207031249,2
-6807.92740419,-3834.94508767,2
-5383.43747594,-2116.70819977,2
3722.54660153,-11571.4280006,2
-6569.72580749,-4312.79366043,2
3742.23731822,-5436.49248534,2
-1115.92295853,-2945.10006682,2
-5374.52091799,760.311633744,2
-3620.82171875,2296.33096929,2
-643.862093069,171.136884168,2
-4049.22013443,1392.8832067,2
-5747.11809589,-1285.52313608,2
-1292.20707599,1861.14202378,2
-7219.03637005,-2560.98863149,2
-27.916291061,519.298876015,2
-5453.13457133,192.74317728,2
-4971.65185822,2318.75892824,2
-4302.37695563,1032.10912095,2
-4106.3881417,-787.143888925,2
-6035.97851305,-2908.66980988,2
-4069.04439266,714.317898416,2
-3950.52166702,501.140328537,2
-1918.68932189,-6430.04631134,2
-2966.18145155,-2136.93665152,2
-1045.75469646,949.828020022,2
-1434.51862952,3331.55683695,2
-2585.901547,1145.54301285,2
-4622.30836422,-6172.98717091,2
-1696.17401941,536.321405973,2
-5224.95569746,-1234.97606571,2
-2715.1844312,5063.84337478,2
-332.068832339,-4327.63519246,2
-3164.68276555,1054.24103022,2
-2307.21093687,4695.43244271,2
2809.50954417,-6107.85944234,2
-5667.2127607,-1926.29739168,2
