,eigan_values,PCA_components
0,5.25377846861,1
1,5.44280237336,2
2,1.22145664459,3
3,1.10033470787,4
4,1.07454231878,5
5,0.88154858086,6
6,0.785396387439,7
7,0.616645144653,8
8,0.538001509929,9
9,0.472527879469,10
10,0.40121850013,11
11,0.329460060642,12
12,0.268110554529,13
13,0.200937943088,14
14,0.153970805184,15
15,0.0227123684477,16
16,0.107709578989,17
17,0.0806300366723,18
18,0.0482161367562,19
