x,y,type
-324.943881958,9114.40772228,1
-2323.44985774,-4383.87853258,1
-5018.80367356,-5811.54681288,1
20332.723212,-12380.9560788,1
7791.02314315,-10424.6762638,1
-1258.76967002,-4842.32628334,1
-2356.85428154,-6933.81630634,1
-1162.78736217,-3297.46757152,1
-2812.91038363,-4820.9603398,1
2815.08357859,-7060.11588955,1
-2774.91109776,-5224.95922517,1
5891.55173179,-4046.59833007,1
-2297.93282574,2593.54019161,1
-519.545517173,-6853.06079333,1
-4568.08238182,969.367574539,1
3459.28947604,7052.15099735,1
-686.926380383,6138.44236133,1
-2300.47104253,-2888.76045111,1
-3370.76885823,1694.00590048,1
-1764.07758649,2578.86050436,1
-2441.7213935,1779.45911145,1
-4711.09521856,-5617.76190434,1
153.447884494,-4015.07279829,1
10355.6744379,-8952.29897057,1
-1383.014685,1639.11465733,1
75.508977468,-3505.16866867,1
24004.8022032,-6599.08972943,1
-4887.90936244,-2928.60240606,1
-4854.46551567,-260.832750418,1
-4359.51213969,-2533.04201917,1
-4134.67995092,-688.212722613,1
-5162.2276583,-4692.59622249,1
-3861.83192336,1034.07460593,1
-586.787823663,-7863.85104767,1
2664.46084208,-5944.60522958,1
-3506.91652389,1400.0563342,1
-2629.60186431,2387.29786069,1
-5025.04412524,-281.08775845,1
2043.50054633,2687.23418324,1
-276.725109501,14270.6483528,1
7890.6769304,-7487.16545865,1
-1881.52377435,1642.57064135,1
-5875.84284153,-2981.78253605,2
-6242.04532317,-2978.95170025,2
5943.02491439,-1638.33194521,2
-4640.90770602,-223.237218062,2
1639.63511672,-3956.26824713,2
2618.80330129,-852.726418301,2
-4946.04160655,-84.8921522337,2
-2026.4568933,3835.94517132,2
-6200.66793642,-2913.81244764,2
-3719.87449564,681.479643409,2
-4706.57964667,613.062491857,2
-2712.22565903,-357.933569268,2
-5272.62219562,-1374.41542104,2
-5021.02473646,-1882.74967957,2
-4284.8211254,757.206888796,2
-5517.08208601,-3272.21399795,2
1112.32209487,-4820.6989014,2
-2459.14774746,2662.00200581,2
-1752.7968046,-605.910623916,2
-5947.59979586,-2033.61945033,2
-5181.85338952,-2013.40198267,2
-4067.9336186,-216.057634877,2
-4218.50993387,1062.20549033,2
-6695.69843302,-3084.24458459,2
-5344.84452683,-2009.67903904,2
2784.47361563,-7880.91901959,2
-6416.79858331,-3244.26832463,2
3080.1353932,-5981.38017212,2
-1588.33988838,-3012.94238048,2
-4568.04995381,237.41384895,2
-3078.08583379,2481.86348544,2
-1304.40143966,-248.831885125,2
-3897.05379431,1602.96745473,2
-5477.15144434,-1206.37659928,2
-1791.12153539,1457.99073366,2
-6177.6108654,-2831.50240743,2
-1131.32805997,-43.9255518705,2
-5070.6644351,217.014298149,2
-3951.31537559,2226.51528774,2
-4208.38417081,1282.29698361,2
-4195.27581989,-430.633989456,2
-5948.86234859,-2028.40017797,2
-3889.08584631,1078.16033166,2
-3943.46183306,785.054363774,2
-1689.3354598,-4186.12341441,2
-3098.26219239,239.415571235,2
-1253.82210143,980.917332875,2
-1394.42784787,3007.93166235,2
-2813.55016637,943.799059855,2
-4551.83906836,-5141.16143933,2
-2637.80586499,137.417871933,2
-4830.4491265,-300.593151977,2
-1471.8015043,4937.93326545,2
-504.047291903,-3977.55318006,2
-3578.67552654,579.998632615,2
-2185.5391449,3784.44420159,2
2206.61874608,-6063.95566937,2
-5576.93098715,-1311.79383607,2
-535.393155022,-5801.63331697,2
-1681.50488647,3170.31768688,2
-2016.06376761,-4519.78417535,2
-6233.49609234,-5364.01268915,2
-1546.89030054,2464.58589623,2
-4847.463378,-952.687564956,2
-2679.09413141,-2302.97344977,2
-5341.01613053,-764.877275557,2
-1846.05165979,-8321.44901422,2
660.483513652,-4630.17336489,2
-4934.50661951,-2426.52667671,2
-1613.17610223,2599.16020727,2
-3883.04944588,-1225.28943974,2
-5143.9453657,-2755.54336871,2
-1264.22590195,1404.8019331,2
-3949.04079969,-5242.81625607,2
-3015.08670294,2910.61246054,2
1482.18487722,-4085.48205871,2
-3960.97361554,223.548815952,2
-2999.86846931,2294.74720652,2
-5669.72251583,-3410.20084015,2
-5151.7296863,-1796.06142191,2
-3763.86613321,234.721112,2
-5265.25570821,-882.382629052,2
-5714.5952181,-2307.81198903,2
-1911.61381654,4626.99950154,2
-5212.04746958,-2792.59234651,2
-5522.29501074,-1242.00753701,2
-3113.69361254,-7259.40674451,2
491.718637416,-5689.80846642,2
-3383.71647817,1865.6776549,2
-557.842336088,-5046.24444929,2
-5319.87863562,-3300.00449224,2
-2541.68276598,2041.32017385,2
-3003.82838146,961.103825961,2
-4043.73647599,920.495840214,2
1193.73981025,-2391.25215329,2
-3183.6303081,3315.35785808,2
-4824.71603172,-1612.79237947,2
-3288.62217497,-4063.07000705,2
-5522.24325212,-994.156640796,2
-75.0593838744,-6402.05104316,2
328.376699144,-4276.64306408,2
-2113.26104386,-162.034691911,2
-3414.77525774,-87.4847737975,2
-4047.11926427,-322.139843079,2
-4130.21300807,1203.25240293,2
-1101.6335676,1678.0433704,2
-4084.89027048,-10.5807438327,2
-4904.39393141,1068.97650857,2
-1794.46118501,-6331.25701026,2
-4383.48605539,-1562.0760884,2
-5260.46498908,-2367.37386652,2
-5289.34395035,-6876.49232582,2
-5606.71153582,-1363.14685597,2
22.295307486,-951.521156683,2
-2879.09273517,3924.38386569,2
1413.49901377,-6806.84250044,2
-4769.04095913,354.308917307,2
-3550.51442348,696.406216284,2
811.956387428,-1090.8266178,2
-4206.80105161,-1645.35066984,2
-4724.63353154,127.503345553,2
-3170.16906622,1291.07924879,2
251.784833938,3537.1432814,2
-4842.67854841,-4229.79989845,2
-5926.40173463,-657.051208582,2
-3895.67882255,1081.83562135,2
-695.508752597,4271.67668418,2
-4596.07274256,-954.371806502,2
2567.39078007,-5891.77121286,2
-3204.27213426,1218.6283345,2
-2738.80360618,-4551.75590033,2
-4380.40546934,-194.07175664,2
-4644.50710142,590.884778258,2
-4689.08301533,-354.844230131,2
-5763.06358033,-4144.57698149,2
-5230.41524781,-1449.03894798,2
-2512.09340615,1135.81924643,2
-2469.34671782,-550.514547118,2
-3610.63334677,1871.58353212,2
1219.59486275,-1559.41373735,2
481.592348146,1823.47110401,2
-3614.5543159,-4515.11051667,2
-4380.42761797,-2201.87471986,2
-1164.39457823,790.65576897,2
227.847067672,1491.59502119,2
3093.06655979,1859.1900849,2
-3631.07614902,-2074.21634683,2
-1766.99812461,5830.59391109,2
-4636.74497521,480.710296759,2
-5549.80086968,-3176.13605602,2
-4887.90190943,-4214.79041716,2
-5603.2727823,-4161.60400778,2
-3511.67817959,2752.42473228,2
-3863.37532029,29.503538989,2
-4679.54227855,-3253.14835819,2
-173.806544518,-7362.55005396,2
-4565.56108989,-6512.69934633,2
-5591.51634217,-4447.24335902,2
-3984.84670463,2314.43129892,2
-248.262305034,2753.6378886,2
-4148.9971284,1693.06255474,2
-729.261740182,-118.905257407,2
-3793.52304713,-5243.1616773,2
-3625.00130468,-4336.46641306,2
-4204.10644266,2407.04152137,2
-3953.93572988,-3167.90484192,2
-1655.26875763,2219.67367681,2
2068.99424226,-5084.22961258,2
-2794.67727769,2810.87808813,2
-4553.33382363,616.383258335,2
-3352.77553913,2346.60768563,2
-5172.07447217,-190.495333547,2
-6416.8673933,-3882.66767451,2
-715.929677479,1889.2408639,2
1200.8644197,2726.07946428,2
-1255.95238037,-713.844783869,2
-5174.952567,-1474.3264618,2
-1768.56381964,2904.14549602,2
-4523.32928026,-681.908106377,2
-5493.49405728,-105.387259663,2
-3195.20984064,1654.42379606,2
-3442.39945533,897.313415305,2
-5162.82877387,-1022.85911277,2
3497.89529619,1791.39061172,2
-3081.47707832,-277.53372651,2
-3001.43777783,4396.00630183,2
-1265.28722977,-355.80054836,2
-1593.54070339,1543.39285827,2
-4257.00998227,2095.50173079,2
-5068.91562322,-574.523775704,2
2639.46179865,-7715.54719377,2
2400.44588543,348.895947269,2
3434.08402644,-5735.30424217,2
-4756.70523722,-511.663266597,2
-5097.56409484,-1688.98596717,2
-5642.4438168,-6271.42390153,2
-4399.33307868,-593.537883211,2
-5315.73993994,-1742.51017064,2
-2307.62249717,3352.42221126,2
-4184.31916225,2296.81620444,2
-4451.04284101,940.794122456,2
-5033.46817822,-1001.34512806,2
-5149.27678088,-227.486910766,2
-1251.70371633,2995.93187934,2
-4399.15397878,-1601.31628156,2
-2391.22105648,2029.88395918,2
1709.43168008,-4085.46230446,2
985.665718973,-5416.12453228,2
-3239.98251862,1589.59109268,2
4069.91502316,-2118.29885423,2
-5526.82718259,-3504.57845218,2
-4161.42474293,-5236.90994227,2
-6385.17643048,-2558.80328432,2
-4016.57512048,1388.48847131,2
-4136.73468321,1622.62195294,2
2286.7144783,-6247.14196463,2
-982.403248122,1745.38408485,2
-2346.20165739,1861.43698349,2
-3490.7021329,1388.65724304,2
330.468985449,-7590.6253839,2
-1078.79567207,3274.14779385,2
-1696.8033946,-1114.76078612,2
-2926.38986272,1801.93542976,2
-1093.30385376,-5062.88784214,2
-2018.20029554,4148.59736445,2
-3260.79906347,1833.76149261,2
-567.579503528,9446.37904365,2
3822.92133366,11179.8617687,2
5545.38214423,13268.6856912,2
401.087710982,5114.13082652,2
21925.6619558,27804.1772766,2
13720.6078896,17785.3852358,2
12560.1272851,18772.4255256,2
5376.14781372,6227.33648573,2
-1513.8839228,7628.37389978,2
1828.1814952,4134.19960116,2
8351.4650144,3579.8391853,2
16941.5930182,11230.5639321,2
998.689736439,6116.04017645,2
-809.10374301,6895.07471288,2
560.122892516,4594.86861917,2
769.079945569,9479.86891466,2
13247.2851921,9541.69398663,2
-372.284793718,5612.6479302,2
5199.87143891,6060.85869254,2
-826.431752592,6955.97706554,2
16353.2428795,24149.4654977,2
12015.5853885,28112.9188774,2
1430.22876369,9211.31457098,2
453.35688065,7748.67453056,2
42.7972950814,5466.52585544,2
1427.87885753,7010.33614556,2
2019.80567305,6451.74430192,2
1445.04346164,11882.6000185,2
12199.0570791,12024.2027468,2
8783.10847959,7775.29983253,2
5809.36135923,13966.3336685,2
3770.56840499,11427.2915244,2
5249.69103152,13322.5291237,2
6784.63996351,919.116700559,2
426.892278884,5805.47822568,2
8360.33429679,5077.34826821,2
1937.71381524,10737.1352613,2
2295.28551158,9012.36000767,2
1145.55579246,5448.08046339,2
898.051111897,10937.4332802,2
6062.94025496,9493.40677014,2
352.908579024,9298.67836528,2
3630.10094337,2485.57173279,2
5910.70939365,7052.95599528,2
-627.272483497,6893.79273192,2
14429.9296123,15058.3935052,2
2980.48579489,3270.10387605,2
-574.99197022,5267.92900417,2
88.1823136906,5045.15911373,2
-53.0022097379,8685.23668749,2
8351.99885994,1627.48519395,2
2069.5343663,-10668.4514948,2
4978.69963598,-8672.16966102,2
6813.02389553,-7059.43539303,2
21491.4209799,-9447.25443063,2
9714.45387594,-7947.55268078,2
6834.01432814,-8880.16977041,2
9444.14490754,-9646.28624626,2
9639.01767158,-9731.45666092,2
16273.9914953,-7633.53860938,2
7264.26633033,-7401.11945033,2
12050.4641803,-9241.57819538,2
14354.9795461,-12743.3470941,2
9705.4093107,-5875.44956375,2
6269.90998945,-9130.56736573,2
6469.18959604,-2841.71142332,2
18027.8486449,-11345.7853793,2
12339.471088,-2787.11587921,2
44568.4697506,-21180.5184461,2
10319.8379047,-11607.6369659,2
19884.8531257,-6000.39203136,2
4529.78100251,-9302.55623128,2
11997.5871057,-9831.44919595,2
11140.018242,-4690.39512496,2
8741.09920226,-6267.55435352,2
24916.0582395,-589.067841552,2
18489.9796489,-2129.78374514,2
8347.52420725,-7713.36086726,2
18476.1437411,-6225.53513758,2
7960.42737226,-7914.04200007,2
23418.3203512,-14144.0513631,2
9406.24339736,-7935.49542528,2
11653.6686845,-4412.89966887,2
11839.0053948,-4170.83252258,2
